id,name
1475427,Cozy Twin for the NYC Win! [Gay/LGBT Friendly]
14653286,Charming pre-war in Sunnyside!
15483662,Spacious Room for Two in Sunnyside near Manhattan
11767644,2 BEDROOM Apartment - Walk to Train!
15043788,Private room in Sunny side 3
14650584,Private room in Sunnyside Gardens
16879854,"NICE, COZY AND CLEAN BEDROOM"
15043534,Private room in Sunnyside 46th st2
1935891,One Bedroom in Sunnyside Gardens
6130145,Moma Casanova. New Additions!
16353465,1Br in 3br apt Dec20-Jan11!!
17270864,Private Apartment in Great Neighborhood
2065985,"Woodside Queens,  New York"
16613394,Cozy 1Br Apartment. Entire Place
17924372,Cozy bedroom w/ private bath near Manhattan 20 min
15432680,Cozy private room in Sunnyside- 20 mins to midtown
17907507,Beautiful 1 Bedroom Near Best Pizza in New York
13467270,Sunnyside Modern Apartment that sleeps 4 people.
15956162,Cozy New Apartment Close to Manhattan
8091463,REALLY NICE nyc apt w amazing piano
2717461,1000sq feet 15mins to Manhattan
14120515,Comfy Sunnyside bedroom
15788483,Two bedroom in sunnyside gardens
13071375,"Gorgeous and sunny, just minutes to Manhattan"
4288271,Living Room with a couch or matress
4144519,1 QUEEN-SIZED BEDROOM
1137921,Cozy and large 1BR apartment in NYC
16202962,"Stunning modern 1BR APT, 15min from grand central"
9136945,Bonito Studio Apartment!
1401826,As Seen In NY Magazine! Chic & Stylish!
3105742,Sunny Bright Spacious Apt
12542909,Huge 800 sq ft 1 bedroom apt
16213608,Modern room very near Manhattan with free pickup!
17762285,NYC Queens
13829927,"Cozy bedroom, convenient, Woodside, 7 train"
16734233,FAB 1BD Sunnyside Gardens Apt with Patio
6378298,"Apartment in Sunnyside, NYC"
14615611,QUEENS Comfortable Daily or weekly
8213019,Big Bright Room 15mins to Midtown!
2445715,3 Bedroom Apt-12 min Times Square
14767195,"Quaint, sunny, and quiet room overlooking garden."
1903198,See WTC from our my door
15043817,Private room in Sunnyside 1
5590262,Bright 1B just 13 Min To Manhattan
2048796,Sunnyside Gardens Oasis!
10043942,Convenient and spacious 2BD Apt
14014067,"Sun-filled 1 BDAPT 20min to Midtown, Amazing View!"
16859099,Close to Manhattan and Laguardia airport and train
13042637,Stunning 2BR Apartment in Sunnyside
10042932,Spacious Cozy Bdrm avail in 2bd apt
15086994,Apt. & the City.
9256080,Aprtment Room Near Manhattan
14760402,2br Apartment w/ Balcony & Free Airport Pickup!
10041589,"Master Bdrm with Private Half Bathroom, Great View"
7026258,Airy Living Room | 15 min. to GC
13187006,Vintage Comfy Apartment - 15 minutes from Midtown
209310,"Min.To #7 Metro/Midtown, City Views"
17992509,Lovely gem 14 min from Grand Central
10020199,Long Iland City 1 stop from NYC
15787037,Huge room very near Manhattan with free pickup!
1107976,See World Trade C. frn my door.
6612941,1 Bedroom Apt. Sunnyside Queens!
11592324,15 MIN TO MIDTOWN SPACIOUS/ BALCONY
10268868,Big room at 15min from Times Square
